" - Edit"," - Edit"
"",""
"Action","Action"
"Add Blog","Add Blog"
"Add Child Blog category","Add Child Blog category"
"Add Filter","Add Filter"
"Add Layout Design","Add Layout Design"
"Add New Post Attribute","Add New Post Attribute"
"Add Post","Add Post"
"Add Root Blog category","Add Root Blog category"
"Add Tag","Add Tag"
"Add Blog category","Add Blog category"
"Allow Comments","Allow Comments"
"Allow guest comments","Allow guest comments"
"An error occurred while trying to delete the taxonomy.","An error occurred while trying to delete the blog category."
"An error occurred while updating the blogs setting.","An error occurred while updating the blogs setting."
"An error occurred while updating the filters.","An error occurred while updating the filters."
"An error occurred while updating the layout designs.","An error occurred while updating the layout designs."
"An error occurred while updating the posts.","An error occurred while updating the posts."
"An error occurred while updating the tags.","An error occurred while updating the tags."
"An error occurred while updating the taxonomies.","An error occurred while updating the taxonomies."
"Approved","Approved"
"Are you sure?","Are you sure?"
"Assign filter to blog category","Assign filter to blog category"
"Assign post to tag","Assign post to tag"
"Assign post to taxonomy","Assign post to blog category"
"Assign blog category to blog","Assign blog category to blog"
"Associated products","Associated products"
"Attribute ""%s"" is required.","Attribute ""%s"" is required."
"Attribute Information","Attribute Information"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Attributes","Attributes"
"Basic layout","Basic layout"
"Blog description","Blog description"
"Blog was saved","Blog was saved"
"Blog was successfully deleted.","Blog was successfully deleted."
"Blog was successfully saved","Blog was successfully saved"
"Blog","Blog"
"Blogs setting","Blogs setting"
"CSV","CSV"
"Can't delete root taxonomy.","Can't delete root blog category."
"Change Blog","Change Blog"
"Change Exposed filter","Change Exposed filter"
"Change Layout Design","Change Layout Design"
"Change status","Change status"
"Collapse All","Collapse All"
"Comment can't be empty","Comment can't be empty"
"Comment title can't be empty","Comment title can't be empty"
"Comment was successfully deleted.","Comment was successfully deleted."
"Comment was successfully saved","Comment was successfully saved"
"Comment","Comment"
"Comments","Comments"
"Condition","Condition"
"Could not find blog to delete.","Could not find blog to delete."
"Could not find comment to delete.","Could not find comment to delete."
"Could not find filter to delete.","Could not find filter to delete."
"Could not find layout design to delete.","Could not find layout design to delete."
"Could not find post to delete.","Could not find post to delete."
"Could not find tag to delete.","Could not find tag to delete."
"Could not find blog category to delete.","Could not find blog category to delete."
"Created at","Created at"
"Customer profile","Customer profile"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Default Values","Default Values"
"Default filter","Default filter"
"Delete Blog","Delete Blog"
"Delete File","Delete File"
"Delete Filter","Delete Filter"
"Delete Layout Design","Delete Layout Design"
"Delete Post Attribute","Delete Post Attribute"
"Delete Post comment","Delete Post comment"
"Delete Post","Delete Post"
"Delete Tag","Delete Tag"
"Delete Blog category","Delete Blog category"
"Delete","Delete"
"Description","Description"
"Design frame","Design frame"
"Disabled","Disabled"
"Display as tree","Display as tree"
"Edit Blog '%s'","Edit Blog '%s'"
"Edit Filter '%s'","Edit Filter '%s'"
"Edit Layout Design '%s'","Edit Layout Design '%s'"
"Edit Post '%s'","Edit Post '%s'"
"Edit Post Attribute ""%s""","Edit Post Attribute ""%s"""
"Edit Post Attribute","Edit Post Attribute"
"Edit Post comment '%s'","Edit Post comment '%s'"
"Edit Tag '%s'","Edit Tag '%s'"
"Edit Blog category '%s'","Edit Blog category '%s'"
"Edit","Edit"
"Enable WYSIWYG","Enable WYSIWYG"
"Enabled","Enabled"
"Error saving blog","Error saving blog"
"Error saving filter","Error saving filter"
"Error saving layout design","Error saving layout design"
"Error saving post","Error saving post"
"Error saving tag","Error saving tag"
"Error saving taxonomy","Error saving blog category"
"Excel","Excel"
"Expand All","Expand All"
"Exposed filter","Exposed filter"
"File","File"
"Filter does not exist.","Filter does not exist."
"Filter type","Filter type"
"Filter was saved","Filter was saved"
"Filter was successfully deleted.","Filter was successfully deleted."
"Filter was successfully saved","Filter was successfully saved"
"Filter","Filter"
"Filters","Filters"
"Frontend Properties","Frontend Properties"
"Global","Global"
"Guest comments are not allowed","Guest comments are not allowed"
"Home","Home"
"ID: %s","ID: %s"
"Id","Id"
"Image","Image"
"Large Image","Large Image"
"Large image","Large image"
"Layout Design was saved","Layout Design was saved"
"Layout Design was successfully deleted.","Layout Design was successfully deleted."
"Layout Design was successfully saved","Layout Design was successfully saved"
"Layout Design","Layout Design"
"Layout Designs","Layout Designs"
"Leave empty for no prefix","Leave empty for no prefix"
"Leave empty to use default URL module/controller/action","Leave empty to use default URL module/controller/action"
"Levels to show (0 for all)","Levels to show (0 for all)"
"Logo image","Logo image"
"Main content","Main content"
"Manage Attributes","Manage Attributes"
"Manage Label / Options","Manage Label / Options"
"Manage Post Attributes","Manage Post Attributes"
"Manage Taxonomies","Manage Taxonomies"
"Meta description for filters list page","Meta description for filters list page"
"Meta description for posts list page","Meta description for posts list page"
"Meta description for taxonomies list page","Meta description for taxonomies list page"
"Meta information","Meta information"
"Meta keywords for filters list page","Meta keywords for filters list page"
"Meta keywords for posts list page","Meta keywords for posts list page"
"Meta keywords for taxonomies list page","Meta keywords for taxonomies list page"
"Meta title for filters list page","Meta title for filters list page"
"Meta title for posts list page","Meta title for posts list page"
"Meta title for taxonomies list page","Meta title for taxonomies list page"
"Meta","Meta"
"Meta-description","Meta-description"
"Meta-keywords","Meta-keywords"
"Meta-title","Meta-title"
"My Post Comments","My Post Comments"
"My Posts comment view","My Posts comment view"
"Name","Name"
"New Post Attribute","New Post Attribute"
"New Root Blog category","New Root Blog category"
"New Blog category","New Blog category"
"No","No"
"None","None"
"Note","Note"
"On %s you wrote:","On %s you wrote:"
"Paging","Paging"
"Pending","Pending"
"Please select blogs setting to delete.","Please select blogs setting to delete."
"Please select blogs setting.","Please select blogs setting."
"Please select comments to delete.","Please select comments to delete."
"Please select comments.","Please select comments."
"Please select filters to delete.","Please select filters to delete."
"Please select filters.","Please select filters."
"Please select layout designs to delete.","Please select layout designs to delete."
"Please select layout designs.","Please select layout designs."
"Please select posts to delete.","Please select posts to delete."
"Please select posts.","Please select posts."
"Please select tags to delete.","Please select tags to delete."
"Please select tags.","Please select tags."
"Please select taxonomies to delete.","Please select taxonomies to delete."
"Please select taxonomies.","Please select taxonomies."
"Position in the admin form","Position in the admin form"
"Position","Position"
"Post Comment","Post Comment"
"Post Comments","Post Comments"
"Post Information","Post Information"
"Post comment","Post comment"
"Post does not exist.","Post does not exist."
"Post was saved","Post was saved"
"Post was successfully deleted.","Post was successfully deleted."
"Post was successfully saved","Post was successfully saved"
"Post","Post"
"Poster e-mail","Poster e-mail"
"Poster name","Poster name"
"Posts","Posts"
"Properties","Properties"
"Publish date","Publish date"
"Publishing status","Publishing status"
"Recursion level","Recursion level"
"Rejected","Rejected"
"Relative to Website Base URL","Relative to Website Base URL"
"Remove filter from blog category","Remove filter from blog category"
"Remove post from tag","Remove post from tag"
"Remove post from taxonomy","Remove post from blog category"
"Remove blog category from blog","Remove blog category from blog"
"Reset","Reset"
"Root","Root"
"Save And Continue Edit","Save And Continue Edit"
"Save Blog","Save Blog"
"Save Filter","Save Filter"
"Save Layout Design","Save Layout Design"
"Save Post Attribute","Save Post Attribute"
"Save Post comment","Save Post comment"
"Save Post","Save Post"
"Save Tag","Save Tag"
"Save Blog category","Save Blog category"
"Scope","Scope"
"Select Blog category","Select Blog category"
"Short content","Short content"
