" - Edit"," - Edit"
"",""
"Action","Action"
"Add Blog setting","Add Blog setting"
"Add Child Taxonomy","Add Child Taxonomy"
"Add Filter","Add Filter"
"Add Layout design","Add Layout design"
"Add New Post Attribute","Add New Post Attribute"
"Add Post","Add Post"
"Add Root Taxonomy","Add Root Taxonomy"
"Add Tag","Add Tag"
"Add Taxonomy","Add Taxonomy"
"Allow Comments","Allow Comments"
"Allow guest comments","Allow guest comments"
"An error occurred while trying to delete the taxonomy.","An error occurred while trying to delete the taxonomy."
"An error occurred while updating the blogs setting.","An error occurred while updating the blogs setting."
"An error occurred while updating the filters.","An error occurred while updating the filters."
"An error occurred while updating the layout designs.","An error occurred while updating the layout designs."
"An error occurred while updating the posts.","An error occurred while updating the posts."
"An error occurred while updating the tags.","An error occurred while updating the tags."
"An error occurred while updating the taxonomies.","An error occurred while updating the taxonomies."
"Approved","Approved"
"Are you sure?","Are you sure?"
"Assign post to filter","Assign post to filter"
"Assign tag to post","Assign tag to post"
"Assign taxonomy to blog setting","Assign taxonomy to blog setting"
"Associated products","Associated products"
"Attribute ""%s"" is required.","Attribute ""%s"" is required."
"Attribute Information","Attribute Information"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Attributes","Attributes"
"Basic layout","Basic layout"
"Blog description","Blog description"
"Blog name","Blog name"
"Blog setting was saved","Blog setting was saved"
"Blog setting was successfully deleted.","Blog setting was successfully deleted."
"Blog setting was successfully saved","Blog setting was successfully saved"
"Blog setting","Blog setting"
"Blogs setting","Blogs setting"
"CSV","CSV"
"Can't delete root taxonomy.","Can't delete root taxonomy."
"Change Blog setting","Change Blog setting"
"Change Display as menu item","Change Display as menu item"
"Change Exposed filter","Change Exposed filter"
"Change Layout design","Change Layout design"
"Change Taxonomy","Change Taxonomy"
"Change status","Change status"
"Collapse All","Collapse All"
"Comment can't be empty","Comment can't be empty"
"Comment title can't be empty","Comment title can't be empty"
"Comment was successfully deleted.","Comment was successfully deleted."
"Comment was successfully saved","Comment was successfully saved"
"Comment","Comment"
"Comments","Comments"
"Condition code","Condition code"
"Could not find blog setting to delete.","Could not find blog setting to delete."
"Could not find comment to delete.","Could not find comment to delete."
"Could not find filter to delete.","Could not find filter to delete."
"Could not find layout design to delete.","Could not find layout design to delete."
"Could not find post to delete.","Could not find post to delete."
"Could not find tag to delete.","Could not find tag to delete."
"Could not find taxonomy to delete.","Could not find taxonomy to delete."
"Created at","Created at"
"Customer profile","Customer profile"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Default Values","Default Values"
"Delete Blog setting","Delete Blog setting"
"Delete File","Delete File"
"Delete Filter","Delete Filter"
"Delete Layout design","Delete Layout design"
"Delete Post Attribute","Delete Post Attribute"
"Delete Post comment","Delete Post comment"
"Delete Post","Delete Post"
"Delete Tag","Delete Tag"
"Delete Taxonomy","Delete Taxonomy"
"Delete","Delete"
"Description","Description"
"Design code","Design code"
"Disabled","Disabled"
"Display as menu item","Display as menu item"
"Display as tree","Display as tree"
"Edit Blog setting '%s'","Edit Blog setting '%s'"
"Edit Filter '%s'","Edit Filter '%s'"
"Edit Layout design '%s'","Edit Layout design '%s'"
"Edit Post '%s'","Edit Post '%s'"
"Edit Post Attribute ""%s""","Edit Post Attribute ""%s"""
"Edit Post Attribute","Edit Post Attribute"
"Edit Post comment '%s'","Edit Post comment '%s'"
"Edit Tag '%s'","Edit Tag '%s'"
"Edit Taxonomy '%s'","Edit Taxonomy '%s'"
"Edit","Edit"
"Enable WYSIWYG","Enable WYSIWYG"
"Enabled","Enabled"
"Error saving blog setting","Error saving blog setting"
"Error saving filter","Error saving filter"
"Error saving layout design","Error saving layout design"
"Error saving post","Error saving post"
"Error saving tag","Error saving tag"
"Error saving taxonomy","Error saving taxonomy"
"Excel","Excel"
"Expand All","Expand All"
"Exposed filter","Exposed filter"
"File","File"
"Filter type","Filter type"
"Filter was saved","Filter was saved"
"Filter was successfully deleted.","Filter was successfully deleted."
"Filter was successfully saved","Filter was successfully saved"
"Filter","Filter"
"Filters","Filters"
"Frontend Properties","Frontend Properties"
"Global","Global"
"Guest comments are not allowed","Guest comments are not allowed"
"Home","Home"
"ID: %s","ID: %s"
"Id","Id"
"Image","Image"
"Large Image","Large Image"
"Large image","Large image"
"Layout design was saved","Layout design was saved"
"Layout design was successfully deleted.","Layout design was successfully deleted."
"Layout design was successfully saved","Layout design was successfully saved"
"Layout design","Layout design"
"Layout designs","Layout designs"
"Leave empty for no prefix","Leave empty for no prefix"
"Leave empty to use default URL module/controller/action","Leave empty to use default URL module/controller/action"
"Levels to show (0 for all)","Levels to show (0 for all)"
"Main content","Main content"
"Manage Attributes","Manage Attributes"
"Manage Label / Options","Manage Label / Options"
"Manage Post Attributes","Manage Post Attributes"
"Manage Taxonomies","Manage Taxonomies"
"Meta description for blogs setting list page","Meta description for blogs setting list page"
"Meta description for filters list page","Meta description for filters list page"
"Meta description for posts list page","Meta description for posts list page"
"Meta description for taxonomies list page","Meta description for taxonomies list page"
"Meta information","Meta information"
"Meta keywords for blogs setting list page","Meta keywords for blogs setting list page"
"Meta keywords for filters list page","Meta keywords for filters list page"
"Meta keywords for posts list page","Meta keywords for posts list page"
"Meta keywords for taxonomies list page","Meta keywords for taxonomies list page"
"Meta title for blogs setting list page","Meta title for blogs setting list page"
"Meta title for filters list page","Meta title for filters list page"
"Meta title for posts list page","Meta title for posts list page"
"Meta title for taxonomies list page","Meta title for taxonomies list page"
"Meta","Meta"
"Meta-description","Meta-description"
"Meta-keywords","Meta-keywords"
"Meta-title","Meta-title"
"My Post Comments","My Post Comments"
"My Posts comment view","My Posts comment view"
"Name","Name"
"New Post Attribute","New Post Attribute"
"New Root Taxonomy","New Root Taxonomy"
"New Taxonomy","New Taxonomy"
"No","No"
"None","None"
"Note","Note"
"On %s you wrote:","On %s you wrote:"
"Paging","Paging"
"Pending","Pending"
"Please select blogs setting to delete.","Please select blogs setting to delete."
"Please select blogs setting.","Please select blogs setting."
"Please select comments to delete.","Please select comments to delete."
"Please select comments.","Please select comments."
"Please select filters to delete.","Please select filters to delete."
"Please select filters.","Please select filters."
"Please select layout designs to delete.","Please select layout designs to delete."
"Please select layout designs.","Please select layout designs."
"Please select posts to delete.","Please select posts to delete."
"Please select posts.","Please select posts."
"Please select tags to delete.","Please select tags to delete."
"Please select tags.","Please select tags."
"Please select taxonomies to delete.","Please select taxonomies to delete."
"Please select taxonomies.","Please select taxonomies."
"Position in the admin form","Position in the admin form"
"Position","Position"
"Post Comment","Post Comment"
"Post Comments","Post Comments"
"Post Information","Post Information"
"Post comment","Post comment"
"Post does not exist.","Post does not exist."
"Post was saved","Post was saved"
"Post was successfully deleted.","Post was successfully deleted."
"Post was successfully saved","Post was successfully saved"
"Post","Post"
"Poster e-mail","Poster e-mail"
"Poster name","Poster name"
"Posts","Posts"
"Properties","Properties"
"Publish date","Publish date"
"Publishing status","Publishing status"
"Recursion level","Recursion level"
"Rejected","Rejected"
"Relative to Website Base URL","Relative to Website Base URL"
"Remove post from filter","Remove post from filter"
"Remove tag from post","Remove tag from post"
"Remove taxonomy from blog setting","Remove taxonomy from blog setting"
"Reset","Reset"
"Root","Root"
"Save And Continue Edit","Save And Continue Edit"
"Save Blog setting","Save Blog setting"
